@RELATION music_speech
@ATTRIBUTE RMS_MEAN NUMERIC
@ATTRIBUTE PAR_MEAN NUMERIC
@ATTRIBUTE ZCR_MEAN NUMERIC
@ATTRIBUTE MAD_MEAN NUMERIC
@ATTRIBUTE MEAN_AD_MEAN NUMERIC
@ATTRIBUTE RMS_STD NUMERIC
@ATTRIBUTE PAR_STD NUMERIC
@ATTRIBUTE ZCR_STD NUMERIC
@ATTRIBUTE MAD_STD NUMERIC
@ATTRIBUTE MEAN_AD_STD NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
0.057447,3.234547,0.191595,0.037308,0.044607,0.027113,0.397827,0.036597,0.018317,0.021898,music
0.026583,2.590328,0.039416,0.016488,0.018977,0.013284,0.384978,0.015575,0.011143,0.012273,music
0.060007,3.274088,0.098235,0.039253,0.046781,0.019620,0.442527,0.020749,0.013607,0.015966,music
0.098869,2.285467,0.036062,0.075762,0.082824,0.031067,0.442622,0.043212,0.028954,0.027619,music
0.069744,2.910838,0.098689,0.047983,0.055666,0.018830,0.499438,0.063787,0.015615,0.016298,music
0.050353,3.409592,0.127820,0.033640,0.039856,0.027995,0.731429,0.041827,0.020065,0.022765,music
0.124951,3.252811,0.117169,0.082375,0.098754,0.057442,0.561363,0.054101,0.038451,0.045690,music
0.025565,2.671340,0.073377,0.014890,0.017441,0.007574,0.523202,0.047484,0.006835,0.007729,music
0.091495,2.883519,0.066588,0.062604,0.073032,0.037544,0.544916,0.037583,0.026893,0.030063,music
0.119757,2.692331,0.061057,0.086020,0.097621,0.054124,0.391179,0.015538,0.038681,0.044188,music
0.130499,2.977842,0.115189,0.088228,0.104044,0.067776,0.466793,0.037558,0.048927,0.055867,music
0.082164,2.805943,0.041259,0.056513,0.065726,0.028468,0.395872,0.019763,0.023496,0.024369,music
0.146923,3.152529,0.106537,0.097201,0.116420,0.061695,0.608467,0.066444,0.042769,0.049398,music
0.036574,2.755492,0.052586,0.023901,0.027480,0.018262,0.328939,0.021937,0.014761,0.016155,music
0.044435,2.775838,0.061887,0.030630,0.034812,0.016192,0.359866,0.031918,0.013234,0.014183,music
0.040517,2.586220,0.047729,0.026783,0.030857,0.022817,0.398126,0.030507,0.018221,0.020351,music
0.045283,2.752374,0.055289,0.029619,0.034784,0.030390,0.479331,0.041203,0.022230,0.025636,music
0.089799,2.906005,0.100845,0.059363,0.070544,0.043167,0.460111,0.058986,0.031415,0.035196,music
0.139278,2.849848,0.064621,0.097359,0.112608,0.038330,0.479252,0.022376,0.031353,0.032397,music
0.062247,2.576166,0.035991,0.043599,0.050253,0.029358,0.488798,0.029610,0.026265,0.026147,music
0.056004,3.081837,0.094702,0.036233,0.043417,0.020667,0.435952,0.036666,0.013899,0.016591,music
0.061058,2.897027,0.071356,0.041384,0.048030,0.035781,0.333989,0.028044,0.025776,0.029728,music
0.059777,2.842017,0.070002,0.040348,0.047211,0.027943,0.465264,0.055849,0.020944,0.023319,music
0.081083,2.831201,0.067571,0.054763,0.064480,0.050475,0.489006,0.050797,0.035440,0.041154,music
0.071279,2.948082,0.062281,0.048188,0.056700,0.036038,0.519806,0.035221,0.027219,0.030358,music
0.064750,3.054769,0.130596,0.045298,0.052144,0.039012,0.457459,0.047871,0.030957,0.032839,music
0.037104,2.903545,0.112083,0.024845,0.028393,0.007465,0.320579,0.036583,0.006273,0.006692,music
0.054408,2.775807,0.071918,0.036757,0.043097,0.019570,0.574878,0.037699,0.014296,0.016115,music
0.020384,2.399182,0.056604,0.010835,0.012671,0.011287,0.477610,0.038606,0.009729,0.011035,music
0.102628,3.130423,0.053822,0.069324,0.081773,0.028171,0.702723,0.027398,0.019679,0.022632,music
